,time,kw
0,2016-11-01 00:00:00,46658
1,2016-11-01 01:00:00,45880
2,2016-11-01 02:00:00,46650
3,2016-11-01 03:00:00,45395
4,2016-11-01 04:00:00,46886
5,2016-11-01 05:00:00,50122
6,2016-11-01 06:00:00,50438.375
7,2016-11-01 07:00:00,50955.5
8,2016-11-01 08:00:00,49326
9,2016-11-01 09:00:00,51621
10,2016-11-01 10:00:00,51232.75
11,2016-11-01 11:00:00,51135.5
12,2016-11-01 12:00:00,50319.75
13,2016-11-01 13:00:00,53970.75
14,2016-11-01 14:00:00,56983.5
15,2016-11-01 15:00:00,57974.5
16,2016-11-01 16:00:00,57026.2425
17,2016-11-01 17:00:00,57133
18,2016-11-01 18:00:00,55296
19,2016-11-01 19:00:00,58630
20,2016-11-01 20:00:00,56983
21,2016-11-01 21:00:00,53163
22,2016-11-01 22:00:00,50872
23,2016-11-01 23:00:00,49283
24,2016-11-02 00:00:00,47567
25,2016-11-02 01:00:00,46313
26,2016-11-02 02:00:00,47447
27,2016-11-02 03:00:00,47304
28,2016-11-02 04:00:00,48323
29,2016-11-02 05:00:00,51041
30,2016-11-02 06:00:00,52047.875
31,2016-11-02 07:00:00,54800.25
32,2016-11-02 08:00:00,54554
33,2016-11-02 09:00:00,55881.5
34,2016-11-02 10:00:00,55638.5
35,2016-11-02 11:00:00,60954.5
36,2016-11-02 12:00:00,63891
37,2016-11-02 13:00:00,62350.5
38,2016-11-02 14:00:00,63378.5
39,2016-11-02 15:00:00,61801.75
40,2016-11-02 16:00:00,60387.54
41,2016-11-02 17:00:00,56943
42,2016-11-02 18:00:00,58798
43,2016-11-02 19:00:00,56818
44,2016-11-02 20:00:00,55685
45,2016-11-02 21:00:00,55716
46,2016-11-02 22:00:00,54398
47,2016-11-02 23:00:00,52536
48,2016-11-03 00:00:00,51815
49,2016-11-03 01:00:00,50934
50,2016-11-03 02:00:00,50611
51,2016-11-03 03:00:00,50930
52,2016-11-03 04:00:00,52515
53,2016-11-03 05:00:00,54778
54,2016-11-03 06:00:00,53542.835
55,2016-11-03 07:00:00,56054.5
56,2016-11-03 08:00:00,57150.25
57,2016-11-03 09:00:00,55869
58,2016-11-03 10:00:00,55936.5
59,2016-11-03 11:00:00,56161
60,2016-11-03 12:00:00,57689.75
61,2016-11-03 13:00:00,53789.25
62,2016-11-03 14:00:00,55500.5
63,2016-11-03 15:00:00,57632
64,2016-11-03 16:00:00,56971.9
65,2016-11-03 17:00:00,59267
66,2016-11-03 18:00:00,56785
67,2016-11-03 19:00:00,55842
68,2016-11-03 20:00:00,56510
69,2016-11-03 21:00:00,54583
70,2016-11-03 22:00:00,50250
71,2016-11-03 23:00:00,47694
72,2016-11-04 00:00:00,45895
73,2016-11-04 01:00:00,43306
74,2016-11-04 02:00:00,40016
75,2016-11-04 03:00:00,40238
76,2016-11-04 04:00:00,41376
77,2016-11-04 05:00:00,41604
78,2016-11-04 06:00:00,42146.55
79,2016-11-04 07:00:00,42970.25
80,2016-11-04 08:00:00,41448
81,2016-11-04 09:00:00,43473.75
82,2016-11-04 10:00:00,44305.75
83,2016-11-04 11:00:00,47921.25
84,2016-11-04 12:00:00,49112
85,2016-11-04 13:00:00,50357.25
86,2016-11-04 14:00:00,52298
87,2016-11-04 15:00:00,53710
88,2016-11-04 16:00:00,53427.325
89,2016-11-04 17:00:00,49097
90,2016-11-04 18:00:00,47071
91,2016-11-04 19:00:00,49658
92,2016-11-04 20:00:00,51341
93,2016-11-04 21:00:00,45867
